station,validUTC,levelcode,pressure_mb,height_m,tmpc,dwpc,drct,speed_kts,bearing,range_sm
KILN,2019-05-28 00:00:00,9,974.3,317.0,25.8,19.2,195.0,6,0.0,0.0
KILN,2019-05-28 00:00:00,4,1000.0,88.0,M,M,M,M,M,M
KILN,2019-05-28 00:00:00,5,946.5,577.0,23.6,16.3,198.0,14,15.0,0.0
KILN,2019-05-28 00:00:00,6,940.7,631.0,M,M,198.0,15,16.0,0.0
KILN,2019-05-28 00:00:00,4,925.0,778.0,21.7,15.7,197.0,14,16.0,0.0
KILN,2019-05-28 00:00:00,6,907.6,942.0,M,M,215.0,14,19.0,0.0
KILN,2019-05-28 00:00:00,5,891.5,1097.0,18.9,14.1,225.0,18,24.0,0.0
KILN,2019-05-28 00:00:00,6,876.0,1247.0,M,M,243.0,23,31.0,0.0
KILN,2019-05-28 00:00:00,5,868.0,1326.0,17.8,11.1,250.0,23,35.0,0.0
KILN,2019-05-28 00:00:00,4,850.0,1506.0,16.4,10.5,239.0,23,41.0,1.0
KILN,2019-05-28 00:00:00,6,848.3,1523.0,M,M,240.0,23,41.0,1.0
KILN,2019-05-28 00:00:00,6,817.6,1835.0,M,M,257.0,25,49.0,1.0
KILN,2019-05-28 00:00:00,5,810.9,1905.0,13.8,8.1,257.0,24,50.0,1.0
KILN,2019-05-28 00:00:00,5,804.9,1967.0,13.8,5.9,256.0,22,52.0,1.0
KILN,2019-05-28 00:00:00,6,788.7,2138.0,M,M,262.0,24,55.0,1.0
KILN,2019-05-28 00:00:00,5,780.8,2223.0,11.6,3.7,264.0,26,57.0,1.0
KILN,2019-05-28 00:00:00,5,774.6,2289.0,11.0,5.3,262.0,28,58.0,1.0
KILN,2019-05-28 00:00:00,6,761.7,2429.0,M,M,261.0,27,60.0,2.0
KILN,2019-05-28 00:00:00,5,742.1,2646.0,8.6,1.1,269.0,26,63.0,2.0
KILN,2019-05-28 00:00:00,5,737.4,2698.0,8.6,-2.0,268.0,26,64.0,2.0
KILN,2019-05-28 00:00:00,6,733.6,2741.0,M,M,266.0,25,64.0,2.0
KILN,2019-05-28 00:00:00,5,725.5,2833.0,7.6,2.2,261.0,25,65.0,2.0
KILN,2019-05-28 00:00:00,5,718.1,2918.0,7.4,-2.7,260.0,28,66.0,2.0
KILN,2019-05-28 00:00:00,6,706.2,3055.0,M,M,261.0,34,67.0,3.0
KILN,2019-05-28 00:00:00,5,702.3,3100.0,6.3,-1.6,261.0,35,67.0,3.0
KILN,2019-05-28 00:00:00,4,700.0,3127.0,6.3,-2.0,262.0,35,67.0,3.0
KILN,2019-05-28 00:00:00,5,685.6,3298.0,5.6,-8.0,266.0,34,69.0,3.0
KILN,2019-05-28 00:00:00,6,679.9,3366.0,M,M,268.0,32,70.0,3.0
KILN,2019-05-28 00:00:00,6,651.0,3718.0,M,M,267.0,35,72.0,4.0
KILN,2019-05-28 00:00:00,5,644.9,3795.0,2.6,-13.5,269.0,35,73.0,4.0
KILN,2019-05-28 00:00:00,5,631.7,3961.0,1.9,-21.2,269.0,35,74.0,4.0
KILN,2019-05-28 00:00:00,6,624.4,4054.0,M,M,268.0,37,74.0,4.0
