KILN @ 2019-05-28 00:00:00
pressure[mb],height[m],temperature[degC],dewpoint[degC],u-wind[m/s],v-wind[m/s]
1000.00,88.00,nan,nan,nan,nan
946.50,577.00,23.60,16.30,2.23,6.85
925.00,778.00,21.70,15.70,2.11,6.89
891.50,1097.00,18.90,14.10,6.55,6.55
868.00,1326.00,17.80,11.10,11.12,4.05
850.00,1506.00,16.40,10.50,10.14,6.09
810.90,1905.00,13.80,8.10,12.03,2.78
804.90,1967.00,13.80,5.90,10.98,2.74
780.80,2223.00,11.60,3.70,13.30,1.40
774.60,2289.00,11.00,5.30,14.26,2.00
742.10,2646.00,8.60,1.10,13.37,0.23
737.40,2698.00,8.60,-2.00,13.37,0.47
725.50,2833.00,7.60,2.20,12.70,2.01
718.10,2918.00,7.40,-2.70,14.19,2.50
702.30,3100.00,6.30,-1.60,17.78,2.82
700.00,3127.00,6.30,-2.00,17.83,2.51
685.60,3298.00,5.60,-8.00,17.45,1.22
644.90,3795.00,2.60,-13.50,18.00,0.31
631.70,3961.00,1.90,-21.20,18.00,0.31
613.00,4203.00,0.00,-17.20,20.50,1.79
600.20,4371.00,-1.60,-14.70,21.40,3.01
579.70,4647.00,-3.40,-29.00,23.65,-0.83
569.70,4784.00,-4.60,-33.00,24.69,-0.43
550.10,5058.00,-6.70,-21.90,27.26,-0.48
538.90,5218.00,-7.40,-18.90,26.75,0.47
527.40,5386.00,-8.20,-24.00,24.66,1.29
521.30,5477.00,-8.40,-39.70,23.65,0.83
509.20,5659.00,-8.80,-34.60,24.18,-0.42
506.00,5708.00,-9.10,-27.70,23.66,0.00
502.80,5756.00,-9.60,-17.70,23.66,0.00
501.50,5776.00,-9.80,-16.80,23.15,0.00
500.00,5800.00,-9.90,-17.10,23.15,0.00
498.30,5826.00,-10.10,-17.40,23.15,0.00
494.20,5888.00,-10.30,-20.70,22.64,0.00
481.80,6084.00,-11.60,-23.40,22.12,0.00
476.30,6173.00,-12.40,-21.00,22.12,0.39
457.10,6485.00,-15.20,-21.70,21.55,-1.51
445.60,6676.00,-15.70,-30.40,24.00,-2.95
443.70,6709.00,-16.00,-28.30,24.00,-2.95
436.20,6838.00,-17.00,-28.70,22.80,-4.02
430.80,6931.00,-17.60,-36.70,22.14,-4.71
420.50,7110.00,-19.00,-41.90,21.15,-6.47
415.80,7194.00,-19.60,-33.80,21.26,-6.10
412.20,7259.00,-20.20,-33.80,21.46,-5.35
400.00,7482.00,-21.40,-32.60,23.63,-1.24
395.10,7573.00,-21.80,-32.90,25.72,0.45
385.40,7755.00,-22.40,-39.20,26.17,1.83
381.30,7833.00,-22.50,-38.10,25.69,1.35
372.90,7996.00,-23.90,-43.40,25.15,1.76
360.60,8240.00,-26.20,-41.70,25.72,0.45
358.80,8276.00,-26.50,-39.90,25.20,0.44
354.30,8367.00,-26.70,-31.70,23.66,0.41
342.90,8603.00,-29.00,-31.90,20.04,-1.05
336.00,8747.00,-29.90,-34.10,20.06,-0.35
325.70,8968.00,-31.50,-34.90,19.87,-2.79
313.10,9245.00,-33.40,-39.10,18.39,-4.93
300.00,9546.00,-35.70,-40.60,18.79,-5.39
291.00,9756.00,-37.00,-42.40,18.55,-4.28
272.80,10199.00,-41.10,-45.00,19.31,-3.06
267.70,10326.00,-42.10,-46.80,18.89,-2.32
261.60,10482.00,-43.30,-47.00,19.47,-1.70
250.40,10776.00,-45.30,-51.80,20.50,-1.79
250.00,10787.00,-45.30,-51.90,20.53,-1.44
238.80,11089.00,-47.70,-54.30,21.06,1.10
233.40,11241.00,-49.00,-56.10,21.96,2.70
224.00,11510.00,-51.40,-63.70,21.46,5.35
200.00,12235.00,-57.70,-67.50,21.26,6.10
197.10,12326.00,-58.60,-68.10,21.76,6.24
181.80,12830.00,-62.20,-71.90,16.46,0.29
173.10,13130.00,-62.40,-72.70,21.58,1.13
158.60,13667.00,-64.90,-76.70,23.14,0.81
156.50,13750.00,-63.90,-76.10,24.18,-0.42
150.00,14010.00,-65.40,-76.40,25.11,-2.20
149.20,14040.00,-65.60,-76.30,25.11,-2.20
145.90,14176.00,-62.90,-74.60,22.29,-3.93
144.60,14231.00,-62.70,-74.20,20.70,-4.02
143.00,14302.00,-61.00,-73.80,20.27,-3.57
136.90,14571.00,-61.80,-79.20,25.75,-5.01
133.20,14739.00,-60.60,-81.90,27.27,-5.30
126.30,15070.00,-61.80,-88.40,23.61,-7.22
122.30,15268.00,-61.20,-90.30,24.09,-2.11
115.00,15649.00,-63.10,-93.10,25.66,1.79
112.90,15762.00,-62.10,-92.40,24.18,0.00
110.80,15881.00,-62.70,-92.90,23.57,2.06
109.50,15954.00,-61.10,-91.70,22.58,1.58
107.00,16093.00,-60.10,-91.00,18.93,-1.99
