KBIS - 2009-01-15 12:00:00
pressure[mb],height[m],temperature[degC],dewpoint[degC],u-wind[m/s],v-wind[m/s]
1000.00,355.00,nan,nan,nan,nan
959.00,649.00,-25.30,-28.80,nan,nan
949.00,726.00,-24.10,-27.60,nan,nan
936.00,826.00,-22.70,-28.70,nan,nan
925.00,915.00,-22.90,-28.90,2.98,-0.80
898.00,1131.00,-22.90,-28.90,nan,nan
851.00,1526.00,-21.30,-35.30,nan,nan
850.00,1536.00,-21.30,-35.30,2.57,-4.46
763.00,2328.00,-22.50,-40.50,nan,nan
730.00,2651.00,-24.10,-41.10,nan,nan
721.00,2741.00,-23.10,-41.10,nan,nan
707.00,2884.00,-22.90,-41.90,nan,nan
700.00,2961.00,-23.30,-43.30,7.83,-16.78
610.00,3960.00,-25.90,-43.90,nan,nan
510.00,5231.00,-34.30,-52.30,nan,nan
500.00,5370.00,-34.50,-52.50,15.87,-34.04
463.00,5906.00,-34.50,-52.50,nan,nan
423.00,6530.00,-38.50,-53.50,nan,nan
409.00,6761.00,-38.70,-53.70,nan,nan
400.00,6920.00,-39.90,-54.90,19.71,-54.14
300.00,8820.00,-54.70,-66.70,16.64,-62.11
255.00,9842.00,-58.10,-69.10,nan,nan
250.00,9970.00,-58.30,-69.30,20.59,-56.56
228.00,10548.00,-58.50,-69.50,nan,nan
214.00,10946.00,-57.70,-68.70,nan,nan
209.00,11095.00,-56.50,-68.50,nan,nan
200.00,11380.00,-56.70,-68.70,21.52,-46.16
192.00,11637.00,-57.70,-69.70,nan,nan
183.00,11939.00,-57.50,-69.50,nan,nan
175.00,12219.00,-59.10,-70.10,nan,nan
168.00,12474.00,-59.70,-70.70,nan,nan
163.00,12662.00,-59.90,-70.90,nan,nan
156.00,12936.00,-58.70,-69.70,nan,nan
150.00,13190.00,-58.90,-69.90,17.77,-48.83
141.00,13577.00,-59.50,-70.50,nan,nan
130.00,14084.00,-59.10,-70.10,nan,nan
111.00,15064.00,-62.50,-73.50,nan,nan
106.00,15348.00,-61.90,-72.90,nan,nan
104.00,15465.00,-62.70,-73.70,nan,nan
100.00,15710.00,-61.70,-72.70,25.97,-37.08
91.50,16259.00,-61.50,-72.50,nan,nan
78.40,17204.00,-66.10,-76.10,nan,nan
70.00,17900.00,-65.90,-75.90,35.29,-35.29
68.60,18022.00,-65.90,-75.90,nan,nan
57.60,19071.00,-69.30,-79.30,nan,nan
52.00,19680.00,-69.10,-79.10,nan,nan
50.00,19920.00,-68.10,-78.10,35.71,-42.56
47.20,20266.00,-66.50,-76.50,nan,nan
30.00,23000.00,-67.90,-77.90,41.83,-41.83
20.00,25420.00,-69.50,-79.50,40.38,-40.38
19.90,25450.00,-69.50,-79.50,nan,nan
